12:11 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:11 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:11 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:11 a. m. --- humedad: 9.333333 , humedad Relativa: 11 , Temperatura: 13.33333 , luminosidad: 26.64
12:11 a. m. --- humedad: 9.333333 , humedad Relativa: 11 , Temperatura: 13.33333 , luminosidad: 26.64
12:11 a. m. --- humedad: 6.666667 , humedad Relativa: 17.33333 , Temperatura: 11 , luminosidad: 44.64
12:11 a. m. --- humedad: 6.666667 , humedad Relativa: 17.33333 , Temperatura: 11 , luminosidad: 44.64
12:11 a. m. --- humedad: 6.666667 , humedad Relativa: 17.33333 , Temperatura: 11 , luminosidad: 44.64
12:11 a. m. --- humedad: 4.666667 , humedad Relativa: 14.66667 , Temperatura: 13.33333 , luminosidad: 54.72
12:11 a. m. --- humedad: 4.666667 , humedad Relativa: 14.66667 , Temperatura: 13.33333 , luminosidad: 54.72
12:11 a. m. --- humedad: 5.333333 , humedad Relativa: 9.333333 , Temperatura: 5.333333 , luminosidad: 12.96
12:11 a. m. --- humedad: 5.333333 , humedad Relativa: 9.333333 , Temperatura: 5.333333 , luminosidad: 12.96
12:11 a. m. --- humedad: 5.333333 , humedad Relativa: 9.333333 , Temperatura: 5.333333 , luminosidad: 12.96
12:11 a. m. --- humedad: 11 , humedad Relativa: 9.666667 , Temperatura: 9.333333 , luminosidad: 28.8
12:11 a. m. --- humedad: 11 , humedad Relativa: 9.666667 , Temperatura: 9.333333 , luminosidad: 28.8
12:12 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:12 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:12 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:12 a. m. --- humedad: 8 , humedad Relativa: 7.333333 , Temperatura: 12.33333 , luminosidad: 54.72
12:12 a. m. --- humedad: 8 , humedad Relativa: 7.333333 , Temperatura: 12.33333 , luminosidad: 54.72
12:13 a. m. --- humedad: 6.666667 , humedad Relativa: 7.666667 , Temperatura: 10 , luminosidad: 38.16
12:13 a. m. --- humedad: 6.666667 , humedad Relativa: 7.666667 , Temperatura: 10 , luminosidad: 38.16
12:13 a. m. --- humedad: 6.666667 , humedad Relativa: 7.666667 , Temperatura: 10 , luminosidad: 38.16
12:13 a. m. --- humedad: 10.33333 , humedad Relativa: 4.333333 , Temperatura: 5 , luminosidad: 41.04
12:13 a. m. --- humedad: 10.33333 , humedad Relativa: 4.333333 , Temperatura: 5 , luminosidad: 41.04
12:13 a. m. --- humedad: 12 , humedad Relativa: 13 , Temperatura: 5 , luminosidad: 42.48
12:13 a. m. --- humedad: 12 , humedad Relativa: 13 , Temperatura: 5 , luminosidad: 42.48
12:13 a. m. --- humedad: 12 , humedad Relativa: 13 , Temperatura: 5 , luminosidad: 42.48
12:13 a. m. --- humedad: 9.333333 , humedad Relativa: 10.66667 , Temperatura: 8.333333 , luminosidad: 43.2
12:13 a. m. --- humedad: 9.333333 , humedad Relativa: 10.66667 , Temperatura: 8.333333 , luminosidad: 43.2
12:14 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:14 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:14 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:14 a. m. --- humedad: 10.33333 , humedad Relativa: 12.33333 , Temperatura: 7.666667 , luminosidad: 36.72
12:14 a. m. --- humedad: 10.33333 , humedad Relativa: 12.33333 , Temperatura: 7.666667 , luminosidad: 36.72
12:14 a. m. --- humedad: 14 , humedad Relativa: 7.666667 , Temperatura: 6.666667 , luminosidad: 20.88
12:14 a. m. --- humedad: 14 , humedad Relativa: 7.666667 , Temperatura: 6.666667 , luminosidad: 20.88
12:14 a. m. --- humedad: 14 , humedad Relativa: 7.666667 , Temperatura: 6.666667 , luminosidad: 20.88
12:19 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:20 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:20 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:20 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
12:20 a. m. --- humedad: 14 , humedad Relativa: 4.666667 , Temperatura: 6 , luminosidad: 45.36
12:20 a. m. --- humedad: 14 , humedad Relativa: 4.666667 , Temperatura: 6 , luminosidad: 45.36
12:20 a. m. --- humedad: 11.33333 , humedad Relativa: 12.66667 , Temperatura: 11.66667 , luminosidad: 33.84
12:20 a. m. --- humedad: 11.33333 , humedad Relativa: 12.66667 , Temperatura: 11.66667 , luminosidad: 33.84
12:20 a. m. --- humedad: 11.33333 , humedad Relativa: 12.66667 , Temperatura: 11.66667 , luminosidad: 33.84
12:21 a. m. --- humedad: 5.666667 , humedad Relativa: 8.333333 , Temperatura: 5 , luminosidad: 19.44
12:21 a. m. --- humedad: 5.666667 , humedad Relativa: 8.333333 , Temperatura: 5 , luminosidad: 19.44
12:21 a. m. --- humedad: 15.33333 , humedad Relativa: 11.66667 , Temperatura: 8.333333 , luminosidad: 25.2
12:21 a. m. --- humedad: 15.33333 , humedad Relativa: 11.66667 , Temperatura: 8.333333 , luminosidad: 25.2
12:21 a. m. --- humedad: 15.33333 , humedad Relativa: 11.66667 , Temperatura: 8.333333 , luminosidad: 25.2
12:21 a. m. --- humedad: 18 , humedad Relativa: 10.66667 , Temperatura: 14.33333 , luminosidad: 36.72
12:21 a. m. --- humedad: 18 , humedad Relativa: 10.66667 , Temperatura: 14.33333 , luminosidad: 36.72
12:21 a. m. --- humedad: 5 , humedad Relativa: 7.333333 , Temperatura: 16 , luminosidad: 24.48
12:21 a. m. --- humedad: 5 , humedad Relativa: 7.333333 , Temperatura: 16 , luminosidad: 24.48
12:21 a. m. --- humedad: 5 , humedad Relativa: 7.333333 , Temperatura: 16 , luminosidad: 24.48
12:21 a. m. --- humedad: 8.666667 , humedad Relativa: 15.66667 , Temperatura: 7 , luminosidad: 18
12:21 a. m. --- humedad: 8.666667 , humedad Relativa: 15.66667 , Temperatura: 7 , luminosidad: 18
12:21 a. m. --- humedad: 8 , humedad Relativa: 15 , Temperatura: 3.333333 , luminosidad: 31.68
12:21 a. m. --- humedad: 8 , humedad Relativa: 15 , Temperatura: 3.333333 , luminosidad: 31.68
12:21 a. m. --- humedad: 8 , humedad Relativa: 15 , Temperatura: 3.333333 , luminosidad: 31.68
12:21 a. m. --- humedad: 6.666667 , humedad Relativa: 9 , Temperatura: 11.33333 , luminosidad: 35.28
12:21 a. m. --- humedad: 6.666667 , humedad Relativa: 9 , Temperatura: 11.33333 , luminosidad: 35.28
12:21 a. m. --- humedad: 7.333333 , humedad Relativa: 5.666667 , Temperatura: 12 , luminosidad: 41.76
12:21 a. m. --- humedad: 7.333333 , humedad Relativa: 5.666667 , Temperatura: 12 , luminosidad: 41.76
12:21 a. m. --- humedad: 7.333333 , humedad Relativa: 5.666667 , Temperatura: 12 , luminosidad: 41.76
12:21 a. m. --- humedad: 14.66667 , humedad Relativa: 14.33333 , Temperatura: 11.33333 , luminosidad: 40.32
12:21 a. m. --- humedad: 14.66667 , humedad Relativa: 14.33333 , Temperatura: 11.33333 , luminosidad: 40.32
12:21 a. m. --- humedad: 5.333333 , humedad Relativa: 15.66667 , Temperatura: 8.666667 , luminosidad: 54.72
12:21 a. m. --- humedad: 5.333333 , humedad Relativa: 15.66667 , Temperatura: 8.666667 , luminosidad: 54.72
