06:02 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
06:02 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
06:02 a. m. --- humedad: 0 , humedad Relativa: 0 , Temperatura: 0 , luminosidad: 0
06:02 a. m. --- humedad: 4 , humedad Relativa: 4.666667 , Temperatura: 9.666667 , luminosidad: 46.8
06:02 a. m. --- humedad: 4 , humedad Relativa: 4.666667 , Temperatura: 9.666667 , luminosidad: 46.8
06:02 a. m. --- humedad: 6.666667 , humedad Relativa: 8.666667 , Temperatura: 14.66667 , luminosidad: 46.08
06:02 a. m. --- humedad: 6.666667 , humedad Relativa: 8.666667 , Temperatura: 14.66667 , luminosidad: 46.08
06:02 a. m. --- humedad: 6.666667 , humedad Relativa: 8.666667 , Temperatura: 14.66667 , luminosidad: 46.08
06:02 a. m. --- humedad: 7.666667 , humedad Relativa: 12.66667 , Temperatura: 12.66667 , luminosidad: 42.48
06:02 a. m. --- humedad: 7.666667 , humedad Relativa: 12.66667 , Temperatura: 12.66667 , luminosidad: 42.48
06:02 a. m. --- humedad: 9.666667 , humedad Relativa: 11.33333 , Temperatura: 3.333333 , luminosidad: 40.32
06:02 a. m. --- humedad: 9.666667 , humedad Relativa: 11.33333 , Temperatura: 3.333333 , luminosidad: 40.32
06:02 a. m. --- humedad: 9.666667 , humedad Relativa: 11.33333 , Temperatura: 3.333333 , luminosidad: 40.32
06:02 a. m. --- humedad: 9 , humedad Relativa: 15 , Temperatura: 10.33333 , luminosidad: 39.6
06:02 a. m. --- humedad: 9 , humedad Relativa: 15 , Temperatura: 10.33333 , luminosidad: 39.6
06:02 a. m. --- humedad: 1.333333 , humedad Relativa: 5.333333 , Temperatura: 15.66667 , luminosidad: 44.64
06:02 a. m. --- humedad: 1.333333 , humedad Relativa: 5.333333 , Temperatura: 15.66667 , luminosidad: 44.64
06:02 a. m. --- humedad: 1.333333 , humedad Relativa: 5.333333 , Temperatura: 15.66667 , luminosidad: 44.64
06:02 a. m. --- humedad: 10.33333 , humedad Relativa: 12 , Temperatura: 11.33333 , luminosidad: 53.28
06:02 a. m. --- humedad: 10.33333 , humedad Relativa: 12 , Temperatura: 11.33333 , luminosidad: 53.28
06:02 a. m. --- humedad: 8.333333 , humedad Relativa: 12 , Temperatura: 13 , luminosidad: 21.6
06:02 a. m. --- humedad: 8.333333 , humedad Relativa: 12 , Temperatura: 13 , luminosidad: 21.6
06:02 a. m. --- humedad: 8.333333 , humedad Relativa: 12 , Temperatura: 13 , luminosidad: 21.6
06:02 a. m. --- humedad: 10.66667 , humedad Relativa: 7 , Temperatura: 11.66667 , luminosidad: 42.48
06:02 a. m. --- humedad: 10.66667 , humedad Relativa: 7 , Temperatura: 11.66667 , luminosidad: 42.48
06:02 a. m. --- humedad: 11.33333 , humedad Relativa: 3.666667 , Temperatura: 9.666667 , luminosidad: 31.68
06:02 a. m. --- humedad: 11.33333 , humedad Relativa: 3.666667 , Temperatura: 9.666667 , luminosidad: 31.68
06:03 a. m. --- humedad: 11.33333 , humedad Relativa: 3.666667 , Temperatura: 9.666667 , luminosidad: 36
06:03 a. m. --- humedad: 12 , humedad Relativa: 13 , Temperatura: 7.333333 , luminosidad: 36
06:03 a. m. --- humedad: 12 , humedad Relativa: 13 , Temperatura: 7.333333 , luminosidad: 36
06:03 a. m. --- humedad: 11.66667 , humedad Relativa: 11.33333 , Temperatura: 8 , luminosidad: 24.48
06:03 a. m. --- humedad: 11.66667 , humedad Relativa: 11.33333 , Temperatura: 8 , luminosidad: 24.48
06:03 a. m. --- humedad: 11.66667 , humedad Relativa: 11.33333 , Temperatura: 8 , luminosidad: 31.68
06:03 a. m. --- humedad: 15 , humedad Relativa: 12.33333 , Temperatura: 9.333333 , luminosidad: 31.68
